Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District
05/23/2020 05:35:00 PM,024XX W DIVISION ST,Нападение,SIMPLE,УЛИЦА,false,true,14
10/16/2020 02:30:00 AM,003XX S STATE ST,Драка,SIMPLE,ПЛАТФОРМА,false,false,1,
01/22/2021 08:00:00 AM,056XX W ADDISON ST,Драка,SIMPLE,ЗДАНИЕ БОЛЬНИЦЫ,false,false,16,
07/21/2020 08:00:00 PM,018XX W HUBBARD ST,Кража,TO VEHICLE,УЛИЦА,false,false,12,
09/08/2020 12:09:00 AM,047XX W VAN BUREN ST,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,true,11,
05/07/2020 03:15:00 PM,004XX N MICHIGAN AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,18,
10/27/2020 11:04:00 AM,012XX S WABASH AVE,УГОН АВТОМОБИЛЯ,CREDIT CARD FRAUD,БЕНЗОКОЛОНКА,false,false,1,
08/27/2020 08:30:00 PM,063XX S NORMAL BLVD,Кража со взломом,FORCIBLE ENTRY,Квартира,false,false,7,
01/27/2020 06:45:00 AM,025XX S SPRINGFIELD AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,10,
02/17/2021 01:49:00 PM,024XX W CHICAGO AVE,Кража,RETAIL THEFT,Аптека,false,false,12,
10/13/2020 05:45:00 PM,078XX S WOLCOTT AVE,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ,false,false,6,
11/18/2020 10:00:00 AM,087XX S CREGIER AVE,Кража со взломом,UNLAWFUL ENTRY,СВОБОДНЫЙ УЧАСТОК / ЗЕМЛЯ,false,false,4,
08/17/2020 11:00:00 PM,054XX N KIMBALL AVE,Кража,TO VEHICLE,Гараж,false,false,17,
07/11/2020 03:20:00 AM,077XX S SOUTH SHORE DR,Кража,TO PROPERTY,Квартира,false,true,4,
11/25/2020 12:35:00 AM,025XX S SAWYER AVE,Кража,TO PROPERTY,Квартира,false,false,10,
06/18/2020 05:30:00 AM,036XX W 56TH PL,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,8,
02/15/2020 04:45:00 AM,029XX N LOTUS AVE,Кража со взломом,FORCIBLE ENTRY,ГАРАЖ,false,false,25,
12/17/2020 06:30:00 AM,078XX S HAMILTON AVE,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,6,
07/19/2020 12:00:00 AM,032XX W 62ND PL,Кража,TO VEHICLE,РЕЗИДЕНЦИЯ,false,false,8,
01/15/2021 04:00:00 PM,035XX W 16TH ST,Кража со взломом,FORCIBLE ENTRY,ЦЕРКОВЬ / СИНАГОГА / МЕСТО ПОКЛОНЕНИЯ,false,false,10,
05/18/2020 01:48:00 AM,030XX S ARCHER AVE,Кража,TO PROPERTY,РЕСТОРАН,false,false,9,
08/11/2020 04:30:00 AM,036XX W JACKSON BLVD,Кража,$500 AND UNDER,УЛИЦА,false,false,11,
01/10/2020 02:40:00 PM,068XX S THROOP ST,Кража,OVER $500,УЛИЦА,false,false,7,
02/14/2020 04:48:00 AM,001XX W DIVISION ST,УГОН АВТОМОБИЛЯ,ILLEGAL USE CASH CARD,ОБМЕН ВАЛЮТ,false,false,18,
02/16/2021 01:20:00 PM,002XX W ADAMS ST,Кража,FROM BUILDING,РЕСТОРАН,false,false,1,
11/12/2020 06:15:00 PM,013XX S CANAL ST,Кража,RETAIL THEFT,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,false,false,1,
08/28/2020 02:50:00 PM,048XX W DAKIN ST,Кража,TO VEHICLE,УЛИЦА,false,false,16,
01/11/2020 03:00:00 PM,067XX N SAUGANASH AVE,Нападение,SIMPLE,РЕЗИДЕНЦИЯ,false,true,16,
11/20/2020 01:15:00 PM,036XX S UNION AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY ELECTRONIC MEANS,Квартира,false,false,9,
02/25/2020 11:00:00 AM,011XX S LAFLIN ST,Нападение,SIMPLE,ПАРКОВКА / ПЛОЩАДКИ,false,false,12,
03/03/2021 07:00:00 PM,058XX S ALBANY AVE,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,SEX ASSLT OF CHILD BY FAM MBR,РЕЗИДЕНЦИЯ,false,false,8,
09/23/2020 11:28:00 AM,0000X W 87TH ST,Кража,PURSE-SNATCHING,CTA BUS,false,false,6,
03/20/2020 12:57:00 PM,096XX S PRINCETON AVE,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,РЕЗИДЕНЦИЯ,false,false,5,
01/14/2021 09:25:00 AM,045XX S PRINCETON AVE,Нападение,AGGRAVATED: HANDGUN,ЦЕРКОВЬ / СИНАГОГА / МЕСТО ПОКЛОНЕНИЯ,false,false,9,
07/22/2020 05:00:00 PM,098XX S INGLESIDE AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,5,
03/23/2020 03:50:00 PM,031XX W POLK ST,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,true,11,
03/27/2020 02:00:00 PM,012XX W GREENLEAF AVE,Кража,FROM BUILDING,Квартира,false,false,24,
08/10/2020 04:20:00 PM,039XX S ELLIS AVE,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ,false,false,2,
09/22/2020 03:00:00 PM,027XX N SPAULDING AVE,Кража,FROM BUILDING,Квартира,false,false,14,
01/24/2020 08:32:00 PM,092XX S PEORIA ST,Драка,DOMESTIC BATTERY SIMPLE,Тротуар,true,true,22,
07/05/2020 05:30:00 PM,005XX W LOCUST ST,Драка,AGGRAVATED: Другое DANG WEAPON,ПАРКОВКА / ПЛОЩАДКИ,false,false,18,
07/29/2020 11:00:00 PM,002XX N HALSTED ST,УГОН АВТОМОБИЛЯ,CREDIT CARD FRAUD,Гараж,false,false,12,
10/01/2020 02:10:00 AM,031XX W 16TH ST,Драка,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,Квартира,true,true,10,
07/03/2020 04:15:00 AM,053XX W LAKE ST,Нападение,AGGRAVATED: HANDGUN,Гараж,true,false,15,
07/17/2020 11:25:00 AM,049XX W ST PAUL AVE,Кража,TO PROPERTY,Квартира,false,false,25,
03/18/2020 07:10:00 AM,005XX S KEDZIE AVE,Кража,$500 AND UNDER,CTA TRAIN,false,false,11,
04/08/2020 12:49:00 PM,017XX W 87TH ST,Драка,SIMPLE,Гараж,true,false,6,
12/12/2020 12:00:00 PM,006XX N PAULINA ST,Кража,OVER $500,CONSTRUCTION SITE,false,false,12,
08/25/2020 06:10:00 PM,037XX S VINCENNES AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,2,
04/15/2020 04:21:00 PM,020XX W GARFIELD BLVD,Кража,$500 AND UNDER,БЕНЗОКОЛОНКА,false,false,9,
02/26/2020 06:00:00 PM,056XX W MADISON ST,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,false,15,
05/16/2020 02:15:00 PM,002XX W MONROE ST,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,1,
04/07/2020 12:01:00 AM,002XX N STATE ST,Кража,FROM BUILDING,HOTEL/MOTEL,false,false,1,
08/24/2020 05:13:00 AM,033XX W BARRY AVE,Кража,TO VEHICLE,УЛИЦА,false,false,14,
12/19/2020 07:00:00 AM,017XX E 67TH ST,Кража со взломом,UNLAWFUL ENTRY,Квартира,false,false,3,
08/02/2020 10:00:00 AM,050XX W ADAMS ST,Ограбление,STRONGARM - NO WEAPON,УЛИЦА,false,false,15,
01/20/2021 10:25:00 AM,007XX N PULASKI RD,Нападение,SIMPLE,SCHOOL, PUBLIC, СТРОЙКА,false,false,11
11/09/2020 07:00:00 PM,0000X E 95TH ST,Кража,$500 AND UNDER,УЛИЦА,false,false,5,
05/20/2020 05:00:00 PM,020XX W le moyne st,Кража,OVER $500,УЛИЦА,false,false,14,
01/21/2021 04:17:00 PM,064XX N CLARK ST,Кража,RETAIL THEFT,POLICE FACILITY/VEH PARKING LOT,true,false,24,
01/24/2020 11:00:00 AM,032XX S PULASKI RD,Драка,SIMPLE,Другое,true,false,10,
04/26/2020 05:55:00 AM,079XX S ESSEX AVE,Драка,AGGRAVATED DOMESTIC BATTERY: Другое DANG WEAPON,Квартира,false,true,4,
01/19/2021 06:00:00 PM,044XX N WOLCOTT AVE,Кража,OVER $500,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,19,
08/27/2020 03:43:00 AM,073XX S YALE AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,false,7,
07/18/2020 08:00:00 PM,065XX S WASHTENAW AVE,НАРКОТИКИ,POSS: SYNTHETIC DRUGS,УЛИЦА,true,false,8,
07/19/2020 02:15:00 PM,013XX W LUNT AVE,Кража,FROM BUILDING,Другое,false,false,24,
11/01/2020 09:40:00 AM,063XX S MAPLEWOOD AVE,Кража,TO PROPERTY,Квартира,false,true,8,
02/04/2020 06:30:00 AM,057XX W CORNELIA AVE,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ,false,false,16,
07/27/2020 11:20:00 PM,007XX N RIDGEWAY AVE,НАРКОТИКИ,POSS: CANNABIS 30GMS OR LESS,Тротуар,true,false,11,
07/11/2020 06:00:00 PM,025XX W FLOURNOY ST,Кража со взломом,FORCIBLE ENTRY,Квартира,false,false,11,
02/13/2021 07:00:00 AM,080XX S PERRY AVE,Нападение,SIMPLE,Квартира,false,true,6,
02/12/2021 07:00:00 PM,004XX W 104TH ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,22,
01/05/2021 05:45:00 PM,028XX W OGDEN AVE,Кража,TO VEHICLE,УЛИЦА,false,false,10,
03/04/2021 02:00:00 PM,031XX N CLARK ST,Кража,$500 AND UNDER,Гараж,false,false,19,
01/29/2020 05:55:00 PM,0000X E 111TH PL,Нападение,AGGRAVATED: Другое DANG WEAPON,Тротуар,false,false,5,
01/09/2020 12:28:00 AM,003XX W 88TH ST,ДРУГОЕ НАРУШЕНИЕ,Другое VEHICLE OFFENSE,УЛИЦА,true,false,6,
07/08/2020 02:30:00 AM,018XX W EVERGREEN AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,14,
06/26/2020 01:00:00 AM,011XX N KARLOV AVE,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,false,11,
01/11/2021 09:00:00 AM,006XX E 130TH ST,Нападение,SIMPLE,РЕЗИДЕНЦИЯ,false,false,5,
03/11/2020 07:20:00 PM,095XX S WOODLAWN AVE,Кража,$500 AND UNDER,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,5,
03/31/2020 11:10:00 AM,050XX W MADISON ST,Драка,SIMPLE,Тротуар,false,false,15,
08/25/2020 12:07:00 PM,050XX W CHICAGO AVE,Кража,TO PROPERTY,Квартира,false,false,15,
04/13/2020 04:19:00 PM,021XX W JACKSON BLVD,НАРКОТИКИ,POSS: HEROIN(WHITE),ALLEY,true,false,12,
08/11/2020 04:00:00 PM,073XX S HALSTED ST,Драка,AGGRAVATED: Другое DANG WEAPON,Тротуар,false,false,7,
12/29/2020 07:30:00 AM,019XX N CLYBOURN AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,18,
08/08/2020 09:00:00 AM,0000X W JACKSON BLVD,Кража,$500 AND UNDER,CTA TRAIN,false,false,1,
09/08/2020 12:01:00 AM,015XX N SANDBURG TER,Кража,TO VEHICLE,Гараж,false,false,18,
02/05/2021 05:30:00 AM,051XX W DIVERSEY AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,true,true,25,
01/05/2021 02:00:00 PM,016XX E 50TH PL,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY ELECTRONIC MEANS,Квартира,false,false,2,
10/30/2020 07:45:00 AM,113XX S MAY ST,Нападение,TO РЕЗИДЕНЦИЯ,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),true,true,22,
08/30/2020 02:30:00 PM,019XX N CLARK ST,Кража,$500 AND UNDER,УЛИЦА,false,false,18,
07/06/2020 01:50:00 PM,026XX N ELSTON AVE,Кража,RETAIL THEFT,УНИВЕРМАГ,true,false,14,
12/12/2020 10:15:00 PM,048XX S HOYNE AVE,Кража со взломом,UNLAWFUL ENTRY,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,true,false,9,
07/28/2020 12:55:00 AM,031XX W LOGAN BLVD,Драка,SIMPLE,БАР ИЛИ ТАВЕРНА,false,false,14,
06/10/2020 11:35:00 PM,113XX S NORMAL AVE,Драка,AGGRAVATED: HANDGUN,Тротуар,false,false,22,
10/29/2020 02:07:00 AM,019XX W MARQUETTE RD,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,7,
11/07/2020 10:30:00 AM,048XX W ALTGELD ST,Кража,$500 AND UNDER,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,25,
10/25/2020 03:35:00 AM,087XX S STONY ISLAND AVE,Кража,RETAIL THEFT,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,false,false,4,
05/17/2020 11:00:00 AM,058XX N ELSTON AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,16,
06/09/2020 08:05:00 PM,0000X W WASHINGTON ST,Кража,$500 AND UNDER,Тротуар,false,false,1,
05/25/2020 08:34:00 PM,038XX W MADISON ST,НАРКОТИКИ,POSS: CANNABIS 30GMS OR LESS,Тротуар,true,false,11,
09/23/2020 10:00:00 PM,018XX N RIDGEWAY AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,25,
09/07/2020 06:20:00 PM,016XX N DAMEN AVE,Кража,RETAIL THEFT,Другое,false,false,14,
02/02/2020 09:30:00 PM,024XX W ARTHINGTON ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,11,
06/01/2020 09:00:00 AM,051XX W ST PAUL AVE,УГОН АВТОМОБИЛЯ,BOGUS CHECK,РЕЗИДЕНЦИЯ,false,false,25,
05/21/2020 02:00:00 PM,008XX N CICERO AVE,Кража,$500 AND UNDER,Гараж,false,false,11,
12/03/2020 11:15:00 AM,007XX S INDEPENDENCE BLVD,Кража,OVER $500,УЛИЦА,false,false,11,
09/23/2020 08:47:00 AM,079XX S SACRAMENTO AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY TELEPHONE,РЕЗИДЕНЦИЯ,false,true,8,
04/08/2020 07:49:00 PM,062XX S JUSTINE ST,Кража со взломом,ATTEMPT FORCIBLE ENTRY,РЕЗИДЕНЦИЯ,false,false,7,
02/25/2020 08:00:00 AM,002XX S LOTUS AVE,Кража со взломом,FORCIBLE ENTRY,Квартира,false,false,15,
04/25/2020 10:00:00 AM,008XX N ST LOUIS AVE,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,Квартира,false,false,11,
04/13/2020 02:25:00 AM,026XX N MILWAUKEE AVE,Нападение,SIMPLE,CTA STATION,false,false,14,
05/21/2020 01:00:00 PM,0000X S STATE ST,УГОН АВТОМОБИЛЯ,CREDIT CARD FRAUD,УНИВЕРМАГ,false,false,1,
01/01/2021 02:39:00 AM,061XX S CALIFORNIA AVE,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,true,false,8,
02/23/2020 02:45:00 PM,078XX S ASHLAND AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,true,false,6,
04/08/2020 09:00:00 AM,028XX N MULLIGAN AVE,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT $300 AND UNDER,Квартира,false,false,25,
10/22/2020 02:00:00 PM,069XX S MAPLEWOOD AVE,Ограбление,ARMED: HANDGUN,УЛИЦА,false,false,8,
06/07/2020 09:03:00 PM,002XX N SACRAMENTO BLVD,НАРКОТИКИ,POSS: HEROIN(WHITE),СВОБОДНЫЙ УЧАСТОК / ЗЕМЛЯ,true,false,12,
09/23/2020 10:00:00 PM,046XX N CLIFTON AVE,Кража,$500 AND UNDER,Другое,false,false,19,
01/13/2021 05:00:00 AM,006XX N MICHIGAN AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY TELEPHONE,БИЗНЕС-ОФИС,false,true,18,
02/17/2020 01:00:00 PM,036XX S WENTWORTH AVE,УГОН АВТОМОБИЛЯ,COUNTERFEITING DOCUMENT,УЛИЦА,false,false,9,
05/12/2020 07:30:00 PM,036XX N CENTRAL AVE,Драка,DOMESTIC BATTERY SIMPLE,Гараж,false,false,16,
11/04/2020 01:00:00 PM,080XX S DANTE AVE,Кража со взломом,FORCIBLE ENTRY,РЕЗИДЕНЦИЯ,false,false,4,
04/12/2020 06:25:00 PM,011XX N CLARK ST,Кража,POCKET-PICKING,CTA TRAIN,false,false,18,
11/15/2020 12:15:00 AM,033XX N AVERS AVE,Ограбление,ARMED: HANDGUN,Тротуар,false,false,17,
12/15/2020 09:00:00 AM,013XX W LUNT AVE,Кража,$500 AND UNDER,Квартира,false,false,24,
09/27/2020 08:00:00 PM,132XX S AVENUE M,Кража,$500 AND UNDER,ALLEY,false,false,4,
06/28/2020 01:00:00 AM,045XX W THOMAS ST,Нападение,SIMPLE,Квартира,false,true,11,
09/10/2020 12:50:00 PM,045XX W 57TH ST,Кража,TO VEHICLE,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,8,
09/30/2020 05:18:00 PM,039XX W FLOURNOY ST,НАРКОТИКИ,POSS: HEROIN(WHITE),УЛИЦА,true,false,11,
03/24/2020 12:14:00 AM,097XX S AVENUE L,Нападение,SIMPLE,РЕЗИДЕНЦИЯ,true,true,4,
08/13/2020 08:25:00 PM,007XX E 43RD ST,УГОН АВТОМОБИЛЯ,THEFT OF LABOR/SERVICES,Другое,true,false,2,
02/17/2021 06:00:00 PM,021XX W NORTH AVE,Кража,OVER $500,УЛИЦА,false,false,14,
08/08/2020 03:00:00 PM,011XX N WASHTENAW AVE,Кража,TO VEHICLE,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,12,
08/16/2020 07:00:00 PM,043XX W 28TH ST,Кража,TO VEHICLE,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,10,
12/13/2020 12:45:00 AM,020XX W CULLERTON ST,Ограбление,ARMED: HANDGUN,УЛИЦА,false,false,12,
10/29/2020 04:00:00 AM,030XX S DRAKE AVE,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,10,
07/05/2020 10:00:00 AM,022XX W ARMITAGE AVE,Кража,TO PROPERTY,Квартира,false,false,14,
01/30/2021 04:00:00 PM,0000X N HALSTED ST,Кража,RETAIL THEFT,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,true,false,12,
06/18/2020 05:00:00 AM,006XX W BELMONT AVE,Драка,AGGRAVATED: HANDGUN,УЛИЦА,false,false,19,
02/17/2020 07:45:00 PM,022XX W WARREN BLVD,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY ELECTRONIC MEANS,Квартира,false,false,12,
09/24/2020 07:30:00 PM,031XX W FLOURNOY ST,Ограбление,STRONGARM - NO WEAPON,УЛИЦА,false,false,11,
10/24/2020 08:23:00 PM,016XX E 71ST ST,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Тротуар,false,false,3,
03/29/2020 10:16:00 AM,014XX W 62ND ST,Нападение,AGGRAVATED: Другое DANG WEAPON,УЛИЦА,false,false,7,
08/15/2020 07:36:00 PM,008XX W RANDOLPH ST,Драка,SIMPLE,БАР ИЛИ ТАВЕРНА,false,false,12,
05/07/2020 02:00:00 PM,0000X N MICHIGAN AVE,УГОН АВТОМОБИЛЯ,CREDIT CARD FRAUD,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,1,
01/30/2020 12:17:00 PM,031XX W IRVING PARK RD,НАРКОТИКИ,MANU/DELIVER:CRACK,Гараж,true,false,17,
04/24/2020 10:44:00 PM,108XX S HOXIE AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),true,false,4,
10/09/2020 08:30:00 PM,003XX S DEARBORN ST,УГОН АВТОМОБИЛЯ,CREDIT CARD FRAUD,Другое,false,false,1,
02/26/2020 11:20:00 AM,058XX S SHIELDS AVE,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,false,7,
07/31/2020 09:30:00 AM,012XX N HARDING AVE,Кража,TO PROPERTY,ГАРАЖ,false,false,25,
10/22/2020 10:30:00 AM,018XX W LAWRENCE AVE,Кража,FROM BUILDING,ATHLETIC CLUB,false,false,20,
05/15/2020 01:00:00 PM,060XX S WOLCOTT AVE,Нападение,SIMPLE,РЕЗИДЕНЦИЯ,false,true,7,
05/11/2020 11:00:00 PM,006XX N MAY ST,Кража,$500 AND UNDER,УЛИЦА,false,false,12,
02/09/2021 09:00:00 PM,010XX E MARQUETTE RD,Кража со взломом,UNLAWFUL ENTRY,Квартира,false,false,3,
02/15/2021 01:00:00 AM,025XX S SPRINGFIELD AVE,ДРУГОЕ НАРУШЕНИЕ,VIOLATE ORDER OF PROTECTION,Квартира,false,true,10,
08/24/2020 12:14:00 AM,107XX S WABASH AVE,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,true,5,
11/26/2020 12:35:00 AM,085XX S ESCANABA AVE,НАРУШЕНИЕ ОБЩЕСТВЕННОГО ПОРЯДКА,RECKLESS CONDUCT,УЛИЦА,true,false,4,
06/16/2020 01:30:00 PM,002XX S MICHIGAN AVE,Кража,FROM BUILDING,РЕСТОРАН,false,false,1,
02/04/2020 12:50:00 PM,085XX S DREXEL AVE,Драка,SIMPLE,УЛИЦА,false,false,6,
08/16/2020 07:00:00 AM,015XX E 53RD ST,Кража,$500 AND UNDER,УЛИЦА,false,false,2,
01/22/2021 01:00:00 PM,005XX W 111TH ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,22,
11/20/2020 03:30:00 PM,051XX W MEDILL AVE,Драка,SIMPLE,УЛИЦА,false,false,25,
02/03/2020 07:30:00 PM,090XX S LOOMIS ST,Кража,OVER $500,УЛИЦА,false,false,22,
07/26/2020 03:30:00 PM,003XX S STATE ST,УГОН АВТОМОБИЛЯ,FRAUD OR CONFIDENCE GAME,УЛИЦА,false,false,1,
06/14/2020 06:00:00 PM,048XX N CICERO AVE,Драка,SIMPLE,УЛИЦА,false,false,16,
03/27/2020 12:00:00 AM,067XX W RAVEN ST,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ,false,false,16,
03/16/2020 01:30:00 AM,030XX N HARLEM AVE,Нападение,SIMPLE,Квартира,false,true,25,
05/25/2020 11:40:00 PM,0000X E 26TH ST,Кража со взломом,HOME INVASION,РЕЗИДЕНЦИЯ,false,false,1,
08/18/2020 11:50:00 PM,059XX N CLARK ST,Кража,TO PROPERTY,БИЗНЕС-ОФИС,false,false,20,
02/03/2021 06:35:00 PM,0000X S STATE ST,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,1,
09/22/2020 08:00:00 AM,001XX N CENTRAL AVE,Кража,$500 AND UNDER,Квартира,false,false,15,
